GKZ,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,ÖVP,%,SPÖ,%.1,FPÖ,%.2,GRÜNE,%.3,NEOS,%.4,BIER,%.5,MFG,%.6,BGE,%.7,LMP,%.8,GAZA,%.9,KPÖ,%.10,KEINE,%.11
G31713,Kaltenleutgeben,2486,1885,14,1871,470,25.12,459,24.53,473,25.28,143,7.64,232,12.39,30,1.6,4.0,0.21,,0.0,13,0.69,8.0,0.42,33,1.76,6,0.32
G31714,Laab im Walde,884,724,2,722,219,30.33,150,20.77,102,14.12,90,12.46,126,17.45,11,1.52,2.0,0.27,,0.0,2,0.27,0.0,0.0,16,2.21,4,0.55
G31715,Laxenburg,2213,1745,10,1735,656,37.8,341,19.65,351,20.23,139,8.01,191,11.0,19,1.09,6.0,0.34,,0.0,8,0.46,2.0,0.11,12,0.69,10,0.57
G31716,Maria Enzersdorf,6459,5275,21,5254,1696,32.28,905,17.22,826,15.72,758,14.42,840,15.98,75,1.42,9.0,0.17,,0.0,45,0.85,5.0,0.09,71,1.35,24,0.45
G31717,Mödling,14700,11289,69,11220,2865,25.53,2531,22.55,2054,18.3,1436,12.79,1667,14.85,234,2.08,34.0,0.3,,0.0,92,0.81,40.0,0.35,209,1.86,58,0.51
G31718,Münchendorf,2420,1944,10,1934,488,25.23,475,24.56,540,27.92,148,7.65,188,9.72,47,2.43,6.0,0.31,,0.0,2,0.1,7.0,0.36,15,0.77,18,0.93
G31719,Perchtoldsdorf,11404,9551,47,9504,2996,31.52,1455,15.3,1617,17.01,1284,13.51,1736,18.26,146,1.53,34.0,0.35,,0.0,65,0.68,18.0,0.18,124,1.3,29,0.3
G31723,Vösendorf,5586,4134,29,4105,947,23.06,1010,24.6,1271,30.96,181,4.4,460,11.2,97,2.36,12.0,0.29,,0.0,23,0.56,10.0,0.24,72,1.75,22,0.53
G31725,Wiener Neudorf,7029,5527,36,5491,1321,24.05,1394,25.38,1413,25.73,462,8.41,585,10.65,106,1.93,12.0,0.21,,0.0,26,0.47,29.0,0.52,113,2.05,30,0.54
G31726,Wienerwald,2283,1943,21,1922,586,30.48,345,17.95,545,28.35,121,6.29,243,12.64,32,1.66,4.0,0.2,,0.0,10,0.52,4.0,0.2,28,1.45,4,0.2
G31799,Wahlkarten - Mödling,0,2283,15,2268,494,21.78,508,22.39,318,14.02,341,15.03,461,20.32,59,2.6,4.0,0.17,,0.0,16,0.7,9.0,0.39,48,2.11,10,0.44
G31800,Neunkirchen,67462,54408,682,53726,14790,27.52,11779,21.92,18078,33.64,2500,4.65,3467,6.45,1111,2.06,231.0,0.42,,0.0,377,0.7,268.0,0.49,824,1.53,301,0.56
G31801,Altendorf,284,243,5,238,106,44.53,21,8.82,74,31.09,8,3.36,20,8.4,1,0.42,2.0,0.84,,0.0,2,0.84,0.0,0.0,1,0.42,3,1.26
