GKZ,Gebietsname,"Wahl-
berechtigte",Stimmen,Unnamed: 4,Unnamed: 5,Dr. Michael Brunner,%,Gerald Grosz,%.1,Dr. Walter Rosenkranz,%.2,Heinrich Staudinger,%.3,Dr. Alexander Van der Bellen,%.4,Dr. Tassilo Wallentin,%.5,Dr. Dominik Wlazny,%.6
,,,Abgegeb.,Ungültige,Gültige,,,,,,,,,,,,,,
G10408,Kukmirn,1652.0,981,29,952,17.0,1.7857142857142856,67.0,7.03781512605042,213.0,22.373949579831933,20.0,2.100840336134454,467.0,49.054621848739494,122.0,12.815126050420167,46.0,4.831932773109244
G10409,Neuberg im Burgenland,815.0,507,33,474,7.0,1.4767932489451476,25.0,5.274261603375527,71.0,14.978902953586498,5.0,1.0548523206751055,236.0,49.789029535864984,82.0,17.29957805907173,48.0,10.126582278481013
G10410,Neustift bei Güssing,375.0,230,3,227,3.0,1.3215859030837005,14.0,6.167400881057269,57.0,25.11013215859031,1.0,0.4405286343612335,116.0,51.10132158590308,28.0,12.334801762114537,8.0,3.524229074889868
G10411,Olbendorf,1189.0,746,36,710,17.0,2.3943661971830985,63.0,8.87323943661972,168.0,23.661971830985916,6.0,0.8450704225352111,319.0,44.929577464788736,69.0,9.71830985915493,68.0,9.577464788732394
G10412,Ollersdorf im Burgenland,779.0,535,24,511,13.0,2.5440313111545985,42.0,8.21917808219178,77.0,15.068493150684931,1.0,0.19569471624266144,298.0,58.31702544031311,42.0,8.21917808219178,38.0,7.436399217221135
G10413,Sankt Michael im Burgenland,826.0,505,16,489,5.0,1.0224948875255624,44.0,8.997955010224949,87.0,17.791411042944784,4.0,0.81799591002045,262.0,53.578732106339466,59.0,12.065439672801636,28.0,5.725971370143149
G10414,Stegersbach,2098.0,1237,47,1190,32.0,2.689075630252101,74.0,6.218487394957983,238.0,20.0,14.0,1.1764705882352942,596.0,50.08403361344538,142.0,11.932773109243698,94.0,7.899159663865546
G10415,Stinatz,914.0,626,30,596,8.0,1.342281879194631,18.0,3.0201342281879198,39.0,6.543624161073826,10.0,1.6778523489932886,383.0,64.26174496644296,70.0,11.74496644295302,68.0,11.409395973154362
G10416,Strem,766.0,481,17,464,7.0,1.5086206896551724,28.0,6.0344827586206895,96.0,20.689655172413794,2.0,0.43103448275862066,227.0,48.922413793103445,75.0,16.163793103448278,29.0,6.25
G10417,Tobaj,1093.0,719,29,690,6.0,0.8695652173913043,32.0,4.63768115942029,148.0,21.44927536231884,10.0,1.4492753623188406,324.0,46.95652173913044,126.0,18.26086956521739,44.0,6.3768115942028984
G10418,Hackerberg,293.0,194,11,183,5.0,2.73224043715847,16.0,8.743169398907105,29.0,15.846994535519126,1.0,0.546448087431694,94.0,51.36612021857923,22.0,12.021857923497267,16.0,8.743169398907105
G10419,Wörterberg,405.0,285,6,279,5.0,1.7921146953405016,15.0,5.376344086021505,58.0,20.78853046594982,4.0,1.4336917562724014,146.0,52.32974910394266,25.0,8.960573476702509,26.0,9.31899641577061
G10420,Großmürbisch,201.0,122,3,119,1.0,0.8403361344537815,5.0,4.201680672268908,14.0,11.76470588235294,0.0,0.0,87.0,73.10924369747899,7.0,5.88235294117647,5.0,4.201680672268908
G10421,Inzenhof,267.0,160,2,158,6.0,3.79746835443038,18.0,11.39240506329114,45.0,28.48101265822785,2.0,1.2658227848101267,54.0,34.177215189873415,21.0,13.291139240506327,12.0,7.59493670886076
G10422,Kleinmürbisch,207.0,105,6,99,2.0,2.0202020202020203,13.0,13.131313131313133,23.0,23.232323232323232,0.0,0.0,41.0,41.41414141414141,9.0,9.090909090909092,11.0,11.11111111111111
G10423,Tschanigraben,59.0,32,0,32,1.0,3.125,1.0,3.125,2.0,6.25,1.0,3.125,19.0,59.375,5.0,15.625,3.0,9.375
